name,tag,time
唐人街探案3,"类型:
              喜剧／悬疑","上映时间:
              2020"
姜子牙,"类型:
              动画／动作／冒险","上映时间:
              2020"
哪吒重生,"类型:
              动作／奇幻／动画","上映时间:
              2020-08"
熊出没·狂野大陆,"类型:
              喜剧／科幻／动画","上映时间:
              2020"
你好世界,"类型:
              动画","上映时间:
              2020"
急先锋,"类型:
              动作／冒险／喜剧","上映时间:
              2020"
夺冠,"类型:
              剧情","上映时间:
              2020"
秘密访客,"类型:
              悬疑／惊悚／犯罪","上映时间:
              2020"
八佰,"类型:
              剧情／战争／历史","上映时间:
              2020"
紧急救援,"类型:
              剧情／灾难／动作","上映时间:
              2020"
